book_id,book_title,book_type,price
360467,Appear opportunity.,1,15.729783747767987
32797,Small step.,2,18.174270342648754
196641,Ability create range.,1,24.906249461709482
360486,Thank onto fly.,1,27.057841042643005
917551,Hold for.,2,23.525798704386016
950322,Article decide leader.,1,14.279267637590843
753714,Network floor.,1,11.759296813604163
426036,Quite ago nor.,2,18.03504039967695
294969,Television administration.,1,23.735242986680984
622654,Police doctor including particular.,1,25.745639457220506
753747,Participant.,1,7.451826023566681
163933,Might culture.,1,12.626010995375186
262257,Case administration keep.,1,13.350236031722611
196725,Her.,2,11.511130549304148
950425,Have approach director.,1,26.331016319651788
327837,Course later.,1,20.28113980055981
167,Week start.,1,17.05527508028535
360622,Type than goal.,2,16.79744052355874
32954,May against.,1,18.728536984641686
164037,Reason international which.,2,22.63044285924934
262354,Career owner begin.,1,19.592178855190813
458971,Baby grow sense.,2,18.946475161135776
524524,Mouth never per.,2,20.225940522990186
360697,Represent enter.,1,16.321156979211153
721149,Environmental majority.,1,20.675898448821933
852238,Rather surface push.,1,17.839907395547506
295194,Point condition idea.,1,12.028169025310483
852254,General stay.,1,14.559601926247192
98610,Two education yard.,1,26.307201654576048
459069,Old degree economic.,1,22.373116023814177
459072,Movie cut live.,1,9.704701489760204
262465,Wait five toward.,1,26.78194527995293
885058,Care possible white.,1,22.393125313018228
983366,Maybe mention.,2,20.79521799831854
426314,Especially relationship.,1,26.39705838225804
524627,Two full.,2,14.381018508698643
754007,Decide quality city.,2,19.001511798958525
983384,Building special.,2,21.41077802516635
229719,Always two.,2,24.89059004915035
295258,Remember true.,2,12.261364476369977
754012,Financial evidence.,2,14.579497602745777
852326,Candidate.,1,20.355579647928387
885101,Investment.,2,19.16661312748355
459119,Language article.,1,23.39636424568508
262512,Mention also expert.,2,20.498904002686128
590201,Today another.,1,26.577364975380448
164241,Mission look.,2,20.103638984144535
491922,Pressure fear station.,1,25.05603884819597
459158,Water west.,1,29.971172955513957
950682,Door local.,2,9.61959815792116
360865,Possible start he.,1,14.533286084846079
360866,Pass production.,2,12.436498012779015
590246,Place close.,1,6.368221360614435
295337,End.,1,17.198067735503074
655785,Land figure too.,1,11.989453405151064
557483,Develop him first.,2,21.128767061542714
491978,Century imagine.,1,25.989877809407336
295378,Make Congress develop.,2,27.085362336834084
360915,Allow thing.,1,29.86546264968693
623066,Produce fear.,1,23.694119344203965
786911,Front energy.,2,17.378855411865658
950755,Benefit from style.,1,19.60564759312731
66021,Parent body.,1,12.1028409541608
131569,Whom eye.,1,21.623242297491323
754162,Magazine see wrong.,1,23.653155079219744
459254,Life.,2,29.083415202094002
426488,Home however radio.,2,5.6870143494984795
459272,None rock rock.,2,11.89317095115175
459279,Single career.,2,27.392813721745537
524820,Find north quality program.,2,22.3025838458202
918038,Wait compare second.,2,14.202562633674788
950816,Practice raise hand.,2,28.489683540308032
754209,More me.,1,19.996358780549567
754212,But research.,1,16.158470735063514
328231,Wear move sing tree.,1,17.12334216619047
98857,Figure.,2,24.04774324832769
688693,Article administration lay.,2,15.553489565873381
131643,Nothing huge.,2,24.42883062514513
576,More.,1,21.47056207639509
492136,Place but.,2,29.714404017421877
819826,Yard glass.,2,24.615507051298437
885364,Government television table.,2,5.794626487278088
492153,Born.,1,20.94283894486108
885370,Few candidate.,2,13.551590787738597
492154,Produce choose back.,1,15.936144460788153
950919,Market plant dog.,1,8.116566099058426
98954,Purpose determine.,1,9.582888868036957
33420,Capital American.,1,15.81933151363828
721551,Board recognize age piece.,2,20.89307673765333
983697,May suddenly on.,1,17.376566833354655
98964,Question information.,1,29.583525281395318
983700,Within financial.,2,27.581520595976546
492184,Teacher grow.,2,17.284121574544358
328345,Alone dog.,1,20.91555073262579
590492,Charge management society.,1,24.610625587997983
669,Campaign control most will.,1,15.063439059955964
819880,Range baby news reach.,2,24.902206487401592
787112,I also argue student.,2,9.52748224287403
197295,Side thought side.,2,15.109558849206616
197299,Mouth garden seem.,1,25.416111128537608
197303,Establish.,2,14.858099158146386
131772,Director may.,2,20.881305255701733
590530,More case.,2,9.48222332124893
295623,Bad you style.,2,11.318456256419342
656075,Beyond appear exactly evidence.,2,26.864550504529717
197330,Old suddenly.,1,27.373993244840253
885461,Day.,2,25.724457230456615
730,Whose likely.,1,27.42744003545917
623324,Fear.,1,6.084861079621488
721628,Decade nation alone.,1,21.48213976028964
426727,Shoulder forget.,2,12.676650349049607
852712,Security son upon.,2,8.640243205111037
492264,Have me high.,1,26.065835954925145
688883,Establish least tree.,1,21.1234392042995
492288,Ten would dream.,1,19.097553473022487
918280,Act.,1,21.130407972682924
492299,Town eight music.,1,9.69758530880535
885519,View investment edge.,2,8.867702861617921
33552,Wait forward.,1,7.141367150227937
164626,Job develop begin.,2,24.844233440809685
787224,Song agency.,2,8.32739644731146
918298,All girl.,2,11.780503622431539
721700,Soon watch.,1,17.82143235223093
361263,Certain sign.,1,25.6203455721079
394058,Travel face role.,2,19.382540328913834
845,Protect other water.,2,15.51670576197164
852826,These store last why.,2,18.93665781953274
885602,Happy strong such.,2,19.98936722344572
66403,Their about realize wall.,2,20.22547987985762
754539,Down help blood walk.,2,25.515064598530895
951147,Ready break wide.,2,22.588781541664783
590700,About new.,2,24.747738361268436
394098,Early return.,1,12.852648682888791
721778,New herself sing.,1,9.487019713963686
492405,Direction street church special.,2,17.57155058161289
